Category,Name,Calories (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Total Carbohydrate (g),Total Sugars (g),Sodium (mg)
mccafe,mango-lemon-duet-frappe,369.0,0.7,0.0,0.0,0.0,92.0,84.0,4.4
mccafe,berry-lemon-duet-frappe,425.0,0.5,0.0,0.0,0.0,106.0,82.0,16.5
mccafe,croissant,260.0,4.9,13.0,9.1,0.0,30.0,4.7,277.2
mccafe,croissant-chocolate,278.0,4.6,14.0,7.8,0.0,33.0,12.0,226.2
mccafe,cinnamon-swirl,350.0,5.5,19.0,13.0,0.2,41.0,14.0,328.5
mccafe,raisin-custard-swirl,278.0,5.4,12.0,8.2,0.1,38.0,15.0,282.4
mccafe,blueberry-muesli-danish,277.0,5.1,13.0,8.2,0.1,37.0,11.0,253.4
beverages,iced-americano,20.0,1.2,0.4,0.1,0.0,2.9,0.0,1.7
beverages,americano,15.0,0.9,0.3,0.1,0.0,2.2,0.0,1.3
beverages,latte,123.0,6.4,6.5,3.9,0.1,9.9,8.1,66.2
beverages,latte-large,219.0,11.0,12.0,7.2,0.2,17.0,15.0,121.6
beverages,iced-latte,117.0,6.1,6.1,3.7,0.1,9.5,7.6,62.4
beverages,iced-latte-large,138.0,7.1,7.3,4.4,0.1,11.0,9.1,74.3
beverages,cappuccino,152.0,7.7,7.9,4.8,0.1,13.0,10.0,83.1
beverages,cappuccino-large,204.0,10.0,11.0,6.5,0.2,17.0,14.0,112.5
beverages,iced-cappuccino,114.0,5.9,5.8,3.4,0.1,9.6,6.9,57.6
beverages,honey-black-tea-iced,134.0,0.3,0.0,0.0,0.0,33.0,29.0,8.9
beverages,honey-milk-tea-hot,179.0,2.9,4.7,3.2,0.1,31.0,28.0,43.4
beverages,honey-milk-tea-iced,215.0,2.9,4.7,3.2,0.1,40.0,36.0,44.4
beverages,hot-black-tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beverages,assam-milk-tea-medium,250.0,9.8,10.0,6.2,0.2,30.0,27.0,107.0
beverages,assam-milk-tea-large,342.0,13.0,13.0,7.8,0.2,44.0,39.0,137.2
beverages,iced-assam-milk-tea-large,258.0,8.4,8.2,4.9,0.2,38.0,33.0,88.0
beverages,iced-assam-milk-tea-medium,183.0,6.3,6.3,3.8,0.1,25.0,22.0,67.3
beverages,hot-milk-tea,36.0,1.3,2.3,1.6,0.0,2.4,2.2,17.7
beverages,hot-milk-tea-medium,75.0,2.7,4.9,3.3,0.1,5.0,4.6,37.1
beverages,iced-milk-tea,128.0,1.5,2.3,1.6,0.0,25.0,23.0,21.3
beverages,iced-milk-tea-large,209.0,2.9,4.7,3.2,0.1,39.0,36.0,40.2
beverages,milk,160.0,8.0,9.0,5.8,0.1,12.0,12.0,102.9
beverages,taiwan-fresh-orange-juice,119.0,2.1,0.0,0.0,0.0,28.0,25.0,3.7
beverages,coke,149.0,0.0,0.0,0.0,0.0,38.0,38.0,7.1
beverages,coke-medium,199.0,0.0,0.0,0.0,0.0,50.0,50.0,9.5
beverages,coke-large,298.0,0.0,0.0,0.0,0.0,75.0,75.0,14.2
beverages,coke-zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1
beverages,coke-zero-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
beverages,coke-zero-large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1
beverages,sprite,163.0,0.0,0.0,0.0,0.0,40.0,40.0,32.0
beverages,sprite-medium,218.0,0.0,0.0,0.0,0.0,53.0,53.0,42.6
beverages,sprite-large,327.0,0.0,0.0,0.0,0.0,80.0,80.0,63.9
beverages,iced-black-tea-lemon-flavor,117.0,0.0,0.0,0.0,0.0,29.0,29.0,14.2
beverages,iced-black-tea-lemon-flavor-medium,156.0,0.0,0.0,0.0,0.0,38.0,38.0,18.9
beverages,iced-black-tea-lemon-flavor-large,234.0,0.0,0.0,0.0,0.0,58.0,58.0,28.4
beverages,iced-black-tea-sugar-free,3.0,0.4,0.0,0.0,0.0,0.4,0.0,4.6
beverages,iced-black-tea-sugar-free-medium,4.0,0.5,0.0,0.0,0.0,0.5,0.0,6.1
beverages,iced-black-tea-sugar-free-large,6.0,0.7,0.0,0.0,0.0,0.7,0.0,9.2
beverages,iced-green-tea-sugar-free,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beverages,iced-green-tea-sugar-free-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beverages,iced-green-tea-sugar-free-large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snacks,hamburger,267.0,13.0,9.4,4.4,0.2,33.0,5.6,362.8
snacks,cheese-burger,316.0,16.0,13.0,7.2,0.4,34.0,5.9,547.3
snacks,sweet-potato,415.0,2.5,17.0,3.3,0.0,68.0,22.0,183.2
snacks,french-fries-small,265.0,4.1,13.0,3.2,0.1,33.0,0.8,199.7
snacks,french-fries-medium,376.0,5.8,18.0,4.5,0.1,47.0,1.1,283.6
snacks,french-fries-large,529.0,8.1,26.0,6.3,0.1,66.0,1.6,399.5
snacks,hash-browns,152.0,1.4,10.0,1.4,0.0,14.0,0.0,241.5
snacks,spicy-chicken-wing-2-pieces,292.0,14.0,20.0,4.2,0.0,14.0,0.0,460.8
snacks,spicy-chicken-wing-6-pieces,875.0,42.0,61.0,13.0,0.0,41.0,0.0,1382.3
snacks,tender-chicken-wing-2-pieces,183.0,18.0,11.0,3.6,0.0,2.0,0.0,361.0
snacks,tender-chicken-wing-6-pieces,549.0,54.0,34.0,11.0,0.0,6.1,0.0,1083.1
snacks,apple-pie,229.0,2.1,9.7,3.2,0.1,33.0,9.9,130.4
snacks,corn-cup,86.0,2.4,0.9,0.2,0.0,17.0,8.0,133.0
snacks,salad-large,37.0,1.2,0.2,0.0,0.0,7.7,4.7,31.7
snacks,sliced-apple,36.0,0.1,0.0,0.0,0.0,8.8,6.9,1.9
snacks,corn-soup-small,93.0,1.9,2.1,1.2,0.0,17.0,5.3,637.5
snacks,corn-soup-large,140.0,2.8,3.1,1.8,0.0,25.0,7.9,956.3
snacks,ice-cream-cone,145.0,2.5,4.6,2.3,0.0,23.0,18.0,68.9
snacks,ice-cream-cone-large,202.0,3.6,6.5,3.4,0.0,32.0,25.0,100.4
snacks,mcflurry,352.0,5.7,12.0,6.2,0.0,55.0,41.0,265.3
snacks,chicken-mcnuggets-4-pieces,180.0,10.0,12.0,2.8,0.0,8.7,0.0,285.1
snacks,chicken-mcnuggets-6-pieces,270.0,16.0,17.0,4.2,0.0,13.0,0.0,427.6
snacks,chicken-mcnuggets-10-pieces,449.0,26.0,29.0,6.9,0.0,22.0,0.0,712.6
